01;D;E;308
02;Emolumento;0.0050;PERCENTUAL;30002;10001
02;Taxa de Liquidacao;0.0200;PERCENTUAL;30003;10001
03;0;25000;5;VALUE;30000;10001
03;25000;50000;7.50;VALUE;30000;10001
03;50000;1000000000000;10.00;VALUE;30000;10001

01;D;O;308
02;Emolumento;0.0120;PERCENTUAL;30002;10001
02;Taxa de Liquidacao;0.0180;PERCENTUAL;30003;10001
02;Taxa de Registro;0.0150;PERCENTUAL;30004;10001
03;0;1000000000000;3.90;VALUE;30000;10001

01;D;F;308
02;Taxa de Liquidacao;0.30;VALUE;30003;10001
03;0;1;1;VOLUME;30000;10001
03;1;2;2;VOLUME;30000;10001
03;2;10;3.50;VOLUME;30000;10001
03;10;20;7;VOLUME;30000;10001
03;20;30;10.50;VOLUME;30000;10001
03;30;40;14;VOLUME;30000;10001
03;40;50;17.50;VOLUME;30000;10001
03;50;60;21.00;VOLUME;30000;10001
03;60;70;24.50;VOLUME;30000;10001
03;70;80;28.00;VOLUME;30000;10001
03;80;90;31.50;VOLUME;30000;10001
03;90;100;35.00;VOLUME;30000;10001

01;S;E;308
02;Emolumento;0.0050;PERCENTUAL;30002;10001
02;Taxa de Liquidacao;0.0275;PERCENTUAL;30003;10001
03;0;1000000000000;7.50;VALUE;30000;10001

01;S;O;308
02;Emolumento;0.0370;PERCENTUAL;30002;10001
02;Taxa de Liquidacao;0.0275;PERCENTUAL;30003;10001
02;Taxa de Registro;0.0695;PERCENTUAL;30004;10001
03;0;1000000000000;7.50;VALUE;30000;10001
