Categoria;Sigla;Descricao;Tipo de Ativo 
E;REC RESG;RECIBOS DE SUBSCRICAO DE ACOES RESGATAVEIS;E 
E;RECIBOS;RECIBOS DE SUBSCRICAO;R 
E;TERMO D BD;TERMO EM DOLAR DE BDRS;TUR 
E;TERMO D CT;TERMO EM DOLAR DE COTAS;TUM 
E;TERMO D OR;TERMO EM DOLAR DE ACOES ORDINARIAS;TUO 
E;TERMO D PA;TERMO EM DOLAR DE ACOES PREFERENCIAIS CLASSE A;TUA 
E;TERMO D PB;TERMO EM DOLAR DE ACOES PREFERENCIAIS CLASSE B;TUB 
E;TERMO D PC;TERMO EM DOLAR DE ACOES PREFERENCIAIS CLASSE C;TUC 
E;TERMO D PD;TERMO EM DOLAR DE ACOES PREFERENCIAIS CLASSE D;TUD 
E;TERMO D PE;TERMO EM DOLAR DE ACOES PREFERENCIAIS CLASSE E;TUE 
E;TERMO D PF;TERMO EM DOLAR DE ACOES PREFERENCIAIS CLASSE F;TUF 
E;TERMO D PG;TERMO EM DOLAR DE ACOES PREFERENCIAIS CLASSE G;TUG 
E;TERMO D PH;TERMO EM DOLAR DE ACOES PREFERENCIAIS CLASSE H;TUH 
E;TERMO D PR;TERMO EM DOLAR DE ACOES PREFERENCIAIS;TUP 
E;TERMO D RC;TERMO EM DOLAR DE RECIBO DE CARTEIRA SELECIONADA DE ACOES;TUS 
E;TERMO D UN;TERMO EM DOLAR DE UNITS / CDA;TUU 
E;TERMO D V1;TERMO EM DOLAR DE ACOES PREFERENCIAIS COM DIREITO A VOTO;TUV 
E;TERMO F BD;TERMO FLEXIVEL DE BDRS;TSR 
E;TERMO F CT;TERMO FLEXIVEL DE COTAS;TSM 
E;TERMO F OR;TERMO FLEXIVEL DE ACOES ORDINARIAS;TSO 
E;TERMO F PA;TERMO FLEXIVEL DE ACOES PREFERENCIAIS CLASSE A;TSA 
E;TERMO F PB;TERMO FLEXIVEL DE ACOES PREFERENCIAIS CLASSE B;TSB 
E;TERMO F PC;TERMO FLEXIVEL DE ACOES PREFERENCIAIS CLASSE C;TSC 
E;TERMO F PD;TERMO FLEXIVEL DE ACOES PREFERENCIAIS CLASSE D;TSD 
E;TERMO F PE;TERMO FLEXIVEL DE ACOES PREFERENCIAIS CLASSE E;TSE 
E;TERMO F PF;TERMO FLEXIVEL DE ACOES PREFERENCIAIS CLASSE F;TSF 
E;TERMO F PG;TERMO FLEXIVEL DE ACOES PREFERENCIAIS CLASSE G;TSG 
E;TERMO F PH;TERMO FLEXIVEL DE ACOES PREFERENCIAIS CLASSE H;TSH 
E;TERMO F PR;TERMO FLEXIVEL DE ACOES PREFERENCIAIS;TSP 
E;TERMO F RC;TERMO FLEXIVEL DE RECIBO DE CARTEIRA SELECIONADA DE ACOES;TSS 
E;TERMO F UN;TERMO FLEXIVEL DE UNITS / CDA;TSU 
E;TERMO F V1;TERMO FLEXIVEL DE ACOES PREFERENCIAIS COM DIREITO A VOTO;TSV 
E;TERMO N BD;TERMO NORMAL DE BDRS;TNR 
E;TERMO N CT;TERMO NORMAL DE COTAS;TNM 
E;TERMO N OR;TERMO NORMAL DE ACOES ORDINARIAS;TNO 
E;TERMO N PA;TERMO NORMAL DE ACOES PREFERENCIAIS CLASSE A;TNA 
E;TERMO N PB;TERMO NORMAL DE ACOES PREFERENCIAIS CLASSE B;TNB 
E;TERMO N PC;TERMO NORMAL DE ACOES PREFERENCIAIS CLASSE C;TNC 
E;TERMO N PD;TERMO NORMAL DE ACOES PREFERENCIAIS CLASSE D;TND 
E;TERMO N PE;TERMO NORMAL DE ACOES PREFERENCIAIS CLASSE E;TNE 
E;TERMO N PF;TERMO NORMAL DE ACOES PREFERENCIAIS CLASSE F;TNF 
E;TERMO N PG;TERMO NORMAL DE ACOES PREFERENCIAIS CLASSE G;TNG 
E;TERMO N PH;TERMO NORMAL DE ACOES PREFERENCIAIS CLASSE H;TNH 
E;TERMO N PR;TERMO NORMAL DE ACOES PREFERENCIAIS;TNP 
E;TERMO N RC;TERMO NORMAL DE RECIBOS DE CARTEIRA SELECIONADA DE ACOES;TNS 
E;TERMO N UN;TERMO NORMAL DE UNITS / CDA;TNU 
E;TERMO N V1;TERMO NORMAL DE ACOES PREFERENCIAIS COM DIREITO A VOTO;TNV 
E;TERMO P BD;TERMO EM PONTOS DE BDRS;TPR 
E;TERMO P OR;TERMO EM PONTOS DE ACOES ORDINARIAS;TPO 
E;TERMO P PA;TERMO EM PONTOS DE ACOES PREFERENCIAIS CLASSE A;TPA 
E;TERMO P PB;TERMO EM PONTOS DE ACOES PREFERENCIAIS CLASSE B;TPB 
E;TERMO P PC;TERMO EM PONTOS DE ACOES PREFERENCIAIS CLASSE C;TPC 
E;TERMO P PD;TERMO EM PONTOS DE ACOES PREFERENCIAIS CLASSE D;TPD 
E;TERMO P PE;TERMO EM PONTOS DE ACOES PREFERENCIAIS CLASSE E;TPE 
E;TERMO P PF;TERMO EM PONTOS DE ACOES PREFERENCIAIS CLASSE F;TPF 
E;TERMO P PG;TERMO EM PONTOS DE ACOES PREFERENCIAIS CLASSE G;TPG 
E;TERMO P PH;TERMO EM PONTOS DE ACOES PREFERENCIAIS CLASSE H;TPH 
E;TERMO P PR;TERMO EM PONTOS DE ACOES PREFERENCIAIS;TPP 
E;TERMO P RC;TERMO EM PONTOS DE RCTB;TPS 
E;TERMO P UN;TERMO EM PONTOS DE UNITS / CDA;TPU 
E;TERMO P V1;TERMO EM PONTOS DE ACOES PREFERENCIAIS COM DIREITO A VOTO;TPV 
F;A18;CONTRATO FUTURO A-BOND 2018;T18 
F;AL2;CONTRATO FUTURO DE ALCOOL ANIDRO LEILAO;AL2 
F;ALA;CONTRATO FUTURO DE ALCOOL ANIDRO;ALA 
F;AUD;CONTRATO FUTURO DE DOLAR AUSTRALIANO;AUD 
F;B09;CONTRATO FUTURO DE GLOBAL 2009;B09 
F;B10;CONTRATO FUTURO DE GLOBAL 2010;B10 
F;B11;CONTRATO FUTURO DE GLOBAL 2011;B11 
F;B12;CONTRATO FUTURO DE GLOBAL 2012;B12 
F;B13;CONTRATO FUTURO DE GLOBAL 2013;B13 
F;B14;CONTRATO FUTURO DE GLOBAL 2014;B14 
F;B15;CONTRATO FUTURO DE GLOBAL 2015;B15 
F;B17;CONTRATO FUTURO DE GLOBAL 2017;B17 
F;B19;CONTRATO FUTURO DE GLOBAL 2019;B19 
F;B20;CONTRATO FUTURO DE GLOBAL 2020;B20 
F;B24;CONTRATO FUTURO DE GLOBAL 2024;B24 
F;B25;CONTRATO FUTURO DE GLOBAL 2025;B25 
F;B27;CONTRATO FUTURO DE GLOBAL 2027;B27 
F;B30;CONTRATO FUTURO DE GLOBAL 2030;B30 
F;B34;CONTRATO FUTURO DE GLOBAL 2034;B34 
F;B37;CONTRATO FUTURO DE GLOBAL 2037;B37 
F;B40;CONTRATO FUTURO DE GLOBAL 2040;B40 
F;BC3;CONTRATO FUTURO DE SWAP DE CREDITO DE 3 ANOS;BC3 
F;BC5;CONTRATO FUTURO DE SWAP DE CREDITO DE 5 ANOS;BC5 
F;BC7;CONTRATO FUTURO DE SWAP DE CREDITO DE 7 ANOS;BC7 
F;BCB;CONTRATO FUTURO DE C-BOND;BCB 
F;BEI;CONTRATO FUTURO DE EI-BOND;BEI 
F;BG2;CONTRATO FUTURO DE BOI GORDO LEILAO;BG2 
F;BGI;CONTRATO FUTURO DE BOI GORDO;BGI 
F;BR1;CONTRATO FUTURO DE BOI GORDO (ROLAGEM);BR1 
F;BRI;CONTRATO FUTURO DE INDICE BRASIL-50;BRI 
F;BZ2;CONTRATO FUTURO DE BEZERRO LEILAO;BZ2 
F;BZE;CONTRATO FUTURO DE BEZERRO;BZE 
F;CAD;CONTRATO FUTURO DE DOLAR CANADENSE;CAD 
F;CCM;CONTRATO FUTURO DE MILHO – CAMPINAS;CCP 
F;CHF;CONTRATO FUTURO DE FRANCO SUICO;CHF 
F;CL2;CONTRATO FUTURO DE CAFE CONILLON LEILAO;CL2 
F;CLC;CONTRATO FUTURO DE MILHO - LUCAS DO RIO VERDE;CLC 
F;CLP;CONTRATO FUTURO DE PESO CHILENO;CLP 
F;CM2;CONTRATO FUTURO DE MILHO COM LIQUIDACAO FINANCEIRA-CAMPINAS;CM2 
F;CN2;CONTRATO FUTURO DE MILHO LEILAO;CN2 
F;CNI;CONTRATO FUTURO DE MILHO;CNI 
F;CNL;CONTRATO FUTURO DE CAFE CONILLON;CNL 
F;CNY;CONTRATO FUTURO DE IUAN;CNY 
F;CO2;CONTRATO FUTURO DE ALGODAO LEILAO;CO2 
F;COP;CONTRATO FUTURO DE MILHO – OESTE DO PARANA;COP 
F;COT;CONTRATO FUTURO DE ALGODAO;COT 
F;CPF;CONTRATO FUTURO DE MILHO – PASSO FUNDO;CPF 
F;CPG;CONTRATO FUTURO DE MILHO - PARANAGUA;CPG 
F;CR1;CONTRATO FUTURO DE ROLAGEM DE CAFE;CR1 
F;CRV;CONTRATO FUTURO DE MILHO – RIO VERDE;CRV 
F;CTM;CONTRATO FUTURO DE MILHO – TRIANGULO MINEIRO;CTM 
F;DAP;CONTRATO FUTURO DE CUPOM DI VERSUS IPCA;DAP 
F;DDI;CONTRATO FUTURO DE CUPOM CAMBIAL;DDI 
F;DDM;CONTRATO FUTURO DE CUPOM DE DI VERSUS IGPM;DDM 
F;DI1;CONTRATO FUTURO DE DI DE 1 DIA;D1I 
F;DI2;CONTRATO FUTURO DE DI DE 1 DIA;D2I 
F;DIL;CONTRATO FUTURO DE DI LONGO;LDI 
F;DOL;CONTRATO FUTURO DE DOLAR COMERCIAL;DOL 
F;DOM;CONTRATO FUTURO DE DOLAR COMERCIAL FRACIONARIO;DOM 
F;DR1;CONTRATO FUTURO DE ROLAGEM DE DOLAR;DR1 
F;EBR;CONTRATO FUTURO DE EURO (EBR);EBR 
F;EN2;CONTRATO FUTURO DE ETANOL LEILAO;EN2 
F;ETH;CONTRATO FUTURO DE ETANOL HIDRATADO;ETH 
F;ETN;CONTRATO FUTURO DE ETANOL;ETN 
F;EUR;CONTRATO FUTURO DE EURO;EUR 
F;FRC;CONTRATO FUTURO DE FRA DE CUPOM;FRC 
F;FRG;CONTRATO FUTURO DE IGP-M - ESTRATEGIA;FRG 
F;FRI;CONTRATO FUTURO DE IPCA - ESTRATEGIA;FRI 
F;FRM;CONTRATO FUTURO DE FRA DE IGP-M;FRM 
F;FRP;CONTRATO FUTURO DE FRP - TERMO EM PONTOS;FRP 
F;GBP;CONTRATO FUTURO DE LIBRA ESTERLINA;GBP 
F;IAP;CONTRATO FUTURO DE IPCA;IAP 
F;IBV;CONTRATO FUTURO DO IBOVESPA;IBV 
F;IC2;CONTRATO FUTURO DE CAFE ARABICA LEILAO;IC2 
F;ICF;CONTRATO FUTURO DE CAFE ARABICA;ICF 
F;IGF;CONTRATO FUTURO FRACIONARIO DE IGP-M;IGF 
F;IGM;CONTRATO FUTURO DE IGP-M;IGM 
F;INF;CONTRATO FUTURO DO IBOVESPA FRACIONARIO;INF 
F;IR1;CONTRATO FUTURO DE ROLAGEM;IR1 
F;IS2;CONTRATO FUTURO DE ACUCAR LEILAO;IS2 
F;ISR;CONTRATO FUTURO DE ROLAGEM;ISR 
F;ISU;CONTRATO FUTURO DE ACUCAR;ISU 
F;JPY;CONTRATO FUTURO DE IENE;JPY 
F;MR1;CONTRATO FUTURO DE MILHO COM LIQUIDACAO FINANCEIRA (ROLAGEM);MR1 
F;MXN;CONTRATO FUTURO DE PESO MEXICANO;MXN 
F;NZD;CONTRATO FUTURO DE DOLAR DA NOVA ZELANDIA;NZD 
F;OP2;CONTRATO FUTURO DE MILHO LIQUIDACAO FINANCEIRA-OESTE PARANA;OP2 
F;OZ;CONTRATO FUTURO DE OURO DE 250 GRAMAS;OZF 
F;PG2;CONTRATO FUTURO DE MILHO COM LIQUIDACAO FINANCEIRA-PARANAGUA;PG2 
F;RV2;CONTRATO FUTURO DE MILHO COM LIQUIDACAO FINANCEIRA-RIO VERDE;RV2 
F;SFI;CONTRATO FUTURO DE SOJA COM LIQUIDACAO FINANCEIRA;SFI 
F;SJC;CONTRATO FUTURO SOJA LIQUIDACAO PELO MINI SOJA CME GROUP;SJC 
F;SO2;CONTRATO FUTURO DE SOJA 27T LEILAO;SO2 
F;SOI;CONTRATO FUTURO DE SOJA 100T;SOI 
F;SOJ;CONTRATO FUTURO DE SOJA 27T;SOJ 
F;SR1;CONTRATO FUTURO DE SOJA (ROLAGEM);SR1 
F;T10;CONTRATO FUTURO DE TREASURY NOTES 10 ANOS;T10 
F;TM2;CONTRATO FUTURO DE MILHO LIQUIDACAO FINANCEIRA-TRIANG MINEIR;TM2 
F;TRY;CONTRATO FUTURO DE LIRA TURCA;TRY 
F;WBG;CONTRATO FUTURO DE BOI GORDO WEB;WBG 
F;WCF;CONTRATO FUTURO DE CAFE ARABICA MINI;WCF 
F;WDL;CONTRATO FUTURO DE DOLAR COMERCIAL FRACIONARIO WEB;WDL 
F;WDO;CONTRATO FUTURO MINI DE DOLAR;WDO 
F;WEU;CONTRATO FUTURO MINI DE EURO;WEU 
F;WIN;CONTRATO FUTURO DE IBOVESPA FRACIONARIO WEB;WIN 
F;YBR;CONTRATO FUTURO DE IENE;YBR 
F;ZAR;CONTRATO FUTURO DE RANDE DA AFRICA DO SUL;ZAR 
M;ANB X DOF;SWAP - TAXA ANBID VERSUS DOLAR FLUTUANTE;SAF 
M;ANB X FGV1;SWAP - TAXA ANBID VERSUS FGV100;SVI 
M;ANB X IAP;TAXA ANBID VERSUS IPCA/IBGE;SAL 
M;ANB X IGD;SWAP - TAXA ANBID VERSUS IGP-DI;SAI 
M;ANB X IGM;SWAP - TAXA ANBID VERSUS IGP-M;SAM 
M;ANB X IGP;SWAP - TAXA ANBID VERSUS INDICE DE PRECOS;SAG 
M;ANB X INP;SWAP - TAXA ANBID VERSUS INPC/IBGE;SAX 
M;ANB X JPY;SWAP - TAXA ANBID VERSUS IENE;SAY 
M;ANB X OZ1;SWAP - TAXA ANBID VERSUS OURO;SAO 
M;ANB X PRE;SWAP - TAXA ANBID VERSUS TAXA PREFIXADA;SAP 
M;ANB X REU;SWAP - TAXA ANBID VERSUS EURO;SAE 
