Categoria;Sigla;Descricao;Tipo de Ativo 
M;IGM X IAP;SWAP - IGP-M VERSUS IPCA/IBGE;SML 
M;IGM X IGD;SWAP - IGP-M VERSUS IGP-DI;SMI 
M;IGM X INP;SWAP - IGP-M VERSUS INPC/IBGE;SMX 
M;IGM X IPC;SWAP - IGP-M VERSUS IPC/FIPE;SMF 
M;IGM X JPY;SWAP - IGP-M VERSUS IENE;SMY 
M;IGM X PRE;SWAP - IGP-M VERSUS TAXA PREFIXADA;SMP 
M;IGM X REU;SWAP - IGP-M VERSUS EURO;SME 
M;IGM X SB1;SWAP - IGP-M VERSUS CARTEIRA DE ACOES;SMB 
M;IGP X DI1;SWAP - INDICE DE PRECOS VERSUS TAXA DI DE UM DIA;SDG 
M;IGP X DOL;SWAP - INDICE DE PRECOS VERSUS DOLAR COMERCIAL;SGC 
M;IGP X OZ1;SWAP - INDICE DE PRECOS VERSUS OURO;SGO 
M;IGP X PRE;SWAP - INDICE DE PRECOS VERSUS TAXA PREFIXADA;SGP 
M;IGP X SB1;SWAP - INDICE DE PRECOS VERSUS CARTEIRA DE ACOES;SGB 
M;IGP X SEL;SWAP - INDICE DE PRECOS VERSUS TAXA SELIC;SSG 
M;IGP X TBF;SWAP - INDICE DE PRECOS VERSUS TBF;SBG 
M;IGP X TJL;SWAP - INDICE DE PRECOS VERSUS TJLP;SJG 
M;IGP X TR;SWAP - INDICE DE PRECOS VERSUS TR;STG 
M;IND X ANB;SWAP - INDICE BOVESPA VERSUS TAXA ANBID;SNA 
M;IND X DOF;SWAP - IBOVESPA VERSUS DOLAR FLUTUANTE;SNF 
M;IND X IAP;SWAP - INDICE BOVESPA VERSUS IPCA/IBGE;SNL 
M;IND X IGD;SWAP - INDICE BOVESPA VERSUS IGP-DI;SNI 
M;IND X IGM;SWAP - INDICE BOVESPA VERSUS IGP-M;SNM 
M;IND X IGP;SWAP - INDICE BOVESPA VERSUS INDICE DE PRECOS;SNG 
M;IND X INP;SWAP - INDICE BOVESPA VERSUS INPC/IBGE;SNX 
M;IND X JPY;SWAP - INDICE BOVESPA VERSUS IENE;SNY 
M;IND X OZ1;SWAP - INDICE BOVESPA VERSUS OURO;SNO 
M;IND X PRE;SWAP - INDICE BOVESPA VERSUS TAXA PREFIXADA;SNP 
M;IND X REU;SWAP - INDICE BOVESPA VERSUS EURO;SNE 
M;IND X SB1;SWAP - INDICE BOVESPA VERSUS CARTEIRA DE ACOES;SNB 
M;IND X SEL;SWAP - INDICE BOVESPA VERSUS TAXA SELIC;SNS 
M;IND X TJL;SWAP - INDICE BOVESPA VERSUS TJLP;SNJ 
M;INP X IAP;SWAP - INPC/IBGE VERSUS IPCA/IBGE;SXL 
M;INP X JPY;SWAP - INPC/IBGE VERSUS IENE;SXY 
M;INP X PRE;SWAP - INPC/IBGE VERSUS TAXA PREFIXADA;SXP 
M;INP X REU;SWAP - INPC/IBGE VERSUS EURO;SXE 
M;INP X SB1;SWAP - INPC/IBGE VERSUS CARTEIRA DE ACOES;SXB 
M;IPC X ANB;SWAP - IPC/FIPE VERSUS TAXA ANBID;SFA 
M;IPC X DI1;SWAP - IPC/FIPE VERSUS TAXA DI DE UM DIA;SFD 
M;IPC X DOL;SWAP - IPC/FIPE VERSUS DOLAR COMERCIAL;SFC 
M;IPC X IAP;SWAP - IPC/FIPE VERSUS IPCA/IBGE;SFL 
M;IPC X IND;SWAP - IPC/FIPE VERSUS INDICE BOVESPA;SFN 
M;IPC X INP;SWAP - IPC/FIPE VERSUS INPC/IBGE;SFX 
M;IPC X JPY;SWAP - IPC/FIPE VERSUS IENE;SFY 
M;IPC X OZ1;SWAP - IPC/FIPE VERSUS OURO;SFO 
M;IPC X SB1;SWAP - IPC/FIPE VERSUS CARTEIRA DE ACOES;SDD 
M;IPC X SEL;SWAP - IPC/FIPE VERSUS TAXA SELIC;SFS 
M;IPC X TBF;SWAP - IPC/FIPE VERSUS TBF;SFF 
M;IPC X TR;SWAP - IPC/FIPE VERSUS TR;SFT 
M;JPY X OZ1;SWAP – IENE VERSUS OURO;SYO 
M;JPY X PRE;SWAP – IENE VERSUS TAXA PREFIXADA;SYP 
M;JPY X REU;SWAP – IENE VERSUS EURO;SYE 
M;JPY X SB1;SWAP – IENE VERSUS CARTEIRA DE ACOES;SYB 
M;OFC BOV;OPCAO FLEXIVEL DE COMPRA DE BOVA11;FBC 
M;OFC BRAX;OPCAO FLEXIVEL DE COMPRA SOBRE BRAX11;FXC 
M;OFC BRI;OPCAO FLEXIVEL DE COMPRA DE IBRX 50;FCX 
M;OFC CSMO;OPCAO FLEXIVEL DE COMPRA SOBRE CSMO11;FCC 
M;OFC FCM;OPCAO FLEXIVEL DE COMPRA DE METAL;FCM 
M;OFC FIND;OPCAO FLEXIVEL DE COMPRA SOBRE FIND11;FFC 
M;OFC GOVE;OPCAO FLEXIVEL DE COMPRA SOBRE GOVE11;FGC 
M;OFC IBV;OPCAO FLEXIVEL DE COMPRA DE IBOVESPA;FCI 
M;OFC ISUS;OPCAO FLEXIVEL DE COMPRA SOBRE ISUS11;FIC 
M;OFC JPY;OPCAO FLEXIVEL DE COMPRA DE IENE;FCJ 
M;OFC MILA;OPCAO FLEXIVEL DE COMPRA SOBRE MILA11;FLC 
M;OFC MOBI;OPCAO FLEXIVEL DE COMPRA SOBRE MOBI11;FMC 
M;OFC OCS;OPCAO FLEXIVEL DE COMPRA SOJA FUTURO;OCS 
M;OFC REU;OPCAO FLEXIVEL DE COMPRA DE EURO;FCE 
M;OFC SMAL;OPCAO FLEXIVEL DE COMPRA SOBRE SMAL11;FSC 
M;OFC TX JUR;OPCAO DE COMPRA FLEXIVEL DE TAXA DE JUROS;FCS 
M;OFC TXCAM;OPCAO DE COMPRA FLEXIVEL DE TAXA DE CAMBIO;OFC 
M;OFV BOV;OPCAO FLEXIVEL DE VENDA DE BOVA11;FBP 
M;OFV BRAX;OPCAO FLEXIVEL DE VENDA SOBRE BRAX11;FXP 
M;OFV BRI;OPCAO FLEXIVEL DE VENDA DE IBRX 50;FPX 
M;OFV CSMO;OPCAO FLEXIVEL DE VENDA SOBRE CSMO11;FCP 
M;OFV FIND;OPCAO FLEXIVEL DE VENDA SOBRE FIND11;FFP 
M;OFV FPM;OPCAO FLEXIVEL DE VENDA DE METAL;FPM 
M;OFV GOVE;OPCAO FLEXIVEL DE VENDA SOBRE GOVE11;FGP 
M;OFV IBV;OPCAO FLEXIVEL DE VENDA DE IBOVESPA;FPI 
M;OFV ISUS;OPCAO FLEXIVEL DE VENDA SOBRE ISUS11;FIP 
M;OFV JPY;OPCAO FLEXIVEL DE VENDA DE IENE;FPJ 
M;OFV MILA;OPCAO FLEXIVEL DE VENDA SOBRE MILA11;FLP 
M;OFV MOBI;OPCAO FLEXIVEL DE VENDA SOBRE MOBI11;FMP 
M;OFV OVS;OPCAO FLEXIVEL DE VENDA SOJA FUTURO;OVS 
M;OFV REU;OPCAO FLEXIVEL DE VENDA DE EURO;FPE 
M;OFV SMAL;OPCAO FLEXIVEL DE VENDA SOBRE SMAL11;FSP 
M;OFV TX JUR;OPCAO DE VENDA FLEXIVEL DE TAXA DE JUROS;FPS 
M;OFV TXCAM;OPCAO DE VENDA FLEXIVEL DE TAXA DE CAMBIO;OFV 
M;OZ1;CONTRATO DISPONIVEL PADRAO DE OURO DE 250 GRAMAS;OZ1 
M;OZ1 X DOF;SWAP - OURO X DOLAR FLUTUANTE;SOF 
M;OZ1 X IAP;SWAP - OURO VERSUS IPCA/IBGE;SOL 
M;OZ1 X IGM;SWAP - OURO VERSUS IGP-M;SOM 
M;OZ1 X INP;SWAP - OURO VERSUS INPC/IBGE;SOX 
M;OZ1 X PRE;SWAP - OURO VERSUS TAXA PREFIXADA;SOP 
M;OZ1 X REU;SWAP - OURO VERSUS EURO;SOE 
M;OZ1 X SB1;SWAP - OURO VERSUS CARTEIRA DE ACOES;SOB 
M;OZ2;CONTRATO DISPONIVEL PADRAO DE OURO DE 10 GRAMAS;OZ2 
M;OZ3;CONTRATO DISPONIVEL PADRAO DE OURO DE 0,0225 GRAMAS;OZ3 
M;OZT;CONTRATO A TERMO DE OURO DE 250 GRAMAS;OZT 
M;PRE X IPC;SWAP - TAXA PREFIXADA VERSUS IPC/FIPE;SPF 
M;PRE X SB1;SWAP - TAXA PREFIXADA VERSUS CARTEIRA DE ACOES;SPB 
M;REC MISC;RECIBOS DE SUBSCRICAO DE MISCELANEOS;F 
M;REU X IGD;SWAP - EURO VERSUS IGP-DI;SEI 
M;REU X IPC;SWAP - EURO VERSUS IPC/FIPE;SEF 
M;REU X PRE;SWAP - EURO VERSUS TAXA PREFIXADA;SEP 
M;SB1 X DI1;SWAP - CARTEIRA DE ACOES VERSUS TAXA DI DE UM DIA;SBD 
M;SB1 X REU;SWAP - CARTEIRA DE ACOES VERSUS EURO;SEB 
M;SB1 X SB2;SWAP - CARTEIRA DE ACOES 1 VERSUS CARTEIRA DE ACOES 2;SBK 
M;SB1 X TR;SWAP - CARTEIRA DE ACOES VERSUS TR;SBT 
M;SC2 ABR;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2J 
M;SC2 AGO;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2Q 
M;SC2 DEZ;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2Z 
M;SC2 FEV;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2G 
M;SC2 JAN;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2F 
M;SC2 JUL;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2N 
M;SC2 JUN;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2M 
M;SC2 MAI;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2K 
M;SC2 MAR;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2H 
M;SC2 NOV;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2X 
M;SC2 OUT;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2V 
M;SC2 SET;CONTRATO A TERMO DE SWAP CAMBIAL SEM AJUSTE;S2U 
M;SC3 ABR;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3J 
M;SC3 AGO;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3Q 
M;SC3 DEZ;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3Z 
M;SC3 FEV;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3G 
M;SC3 JAN;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3F 
M;SC3 JUL;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3N 
M;SC3 JUN;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3M 
M;SC3 MAI;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3K 
M;SC3 MAR;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3H 
M;SC3 NOV;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3X 
M;SC3 OUT;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3V 
M;SC3 SET;CONTRATO A TERMO DE SWAP CAMBIAL MINI COM AJUSTE;S3U 
M;SCC ABR;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCJ 
M;SCC AGO;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCQ 
M;SCC DEZ;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCZ 
M;SCC FEV;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCG 
M;SCC JAN;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCF 
M;SCC JUL;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCN 
M;SCC JUN;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCM 
M;SCC MAI;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCK 
M;SCC MAR;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCH 
M;SCC NOV;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCX 
M;SCC OUT;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCV 
M;SCC SET;CONTRATO A TERMO DE SWAP CAMBIAL COM AJUSTE;SCU 
M;SEL X DOF;SWAP - TAXA SELIC VERSUS DOLAR FLUTUANTE;SSF 
M;SEL X DOL;SWAP - TAXA SELIC VERSUS DOLAR COMERCIAL;SSC 
M;SEL X IAP;SWAP - TAXA SELIC VERSUS IPCA/IBGE;SSL 
M;SEL X IGD;SWAP - TAXA SELIC VERSUS IGP-DI;SSI 
M;SEL X IGM;SWAP - TAXA SELIC VERSUS IGP-M;SSM 
M;SEL X INP;SWAP - TAXA SELIC VERSUS INPC/IBGE;SSX 
M;SEL X JPY;SWAP - TAXA SELIC VERSUS IENE;SSY 
M;SEL X OZ1;SWAP - TAXA SELIC VERSUS OURO;SSO 
M;SEL X PRE;SWAP - TAXA SELIC VERSUS TAXA PREFIXADA;SSP 
M;SEL X REU;SWAP - TAXA SELIC VERSUS EURO;SSE 
M;SEL X SB1;SWAP - TAXA SELIC VERSUS CARTEIRA DE ACOES;SSB 
M;SEL X TR;SWAP - TAXA SELIC VERSUS TR;SST 
M;TBF X ANB;SWAP - TBF VERSUS TAXA ANBID;SBA 
M;TBF X DOF;SWAP - TBF VERSUS DOLAR FLUTUANTE;SBF 
M;TBF X DOL;SWAP - TBF VERSUS DOLAR COMERCIAL;SBC 
M;TBF X IAP;SWAP - TBF VERSUS IPCA/IBGE;SBL 
M;TBF X IGD;SWAP - TBF VERSUS IGP-DI;SBI 
M;TBF X IGM;SWAP - TBF VERSUS IGP-M;SBM 
M;TBF X IND;SWAP - TBF VERSUS INDICE BOVESPA;SBN 
M;TBF X INP;SWAP - TBF VERSUS INPC/IBGE;SBX 
M;TBF X JPY;SWAP - TBF VERSUS IENE;SBY 
M;TBF X OZ1;SWAP - TBF VERSUS OURO;SBO 
M;TBF X PRE;SWAP - TBF VERSUS TAXA PREFIXADA;SBP 
M;TBF X REU;SWAP - TBF VERSUS EURO;SBE 
M;TBF X SB1;SWAP - TBF VERSUS CARTEIRA DE ACOES;SBB 
M;TBF X SEL;SWAP - TBF VERSUS TAXA SELIC;SBS 
M;TBF X TJL;SWAP - TBF VERSUS TJLP;SBJ 
M;TERMO D M1;TERMO EM DOLAR DE MISCELANEAS;TUY 
M;TERMO F M1;TERMO FLEXIVEL DE MISCELANEAS;TSY 
M;TERMO N M1;TERMO NORMAL DE MISCELANEAS;TNY 
M;TJL X ANB;SWAP - TJLP VERSUS TAXA ANBID;SJA 
M;TJL X IAP;SWAP - TJLP VERSUS IPCA/IBGE;SJL 
M;TJL X IGD;SWAP - TJLP VERSUS IGP-DI;SJI 
M;TJL X IGM;SWAP - TJLP VERSUS IGP-M;SJM 
M;TJL X INP;SWAP - TJLP VERSUS INPC/IBGE;SJX 
M;TJL X IPC;SWAP - TJLP VERSUS IPC/FIPE;SJF 
M;TJL X JPY;SWAP - TJLP VERSUS IENE;SJY 
M;TJL X OZ1;SWAP - TJLP VERSUS OURO;SJO 
M;TJL X PRE;SWAP - TJLP VERSUS TAXA PREFIXADA;SJP 
M;TJL X REU;SWAP - TJLP VERSUS EURO;SJE 
M;TJL X SB1;SWAP - TJLP VERSUS CARTEIRA DE ACOES;SJB 
M;TJL X SEL;SWAP - TJLP VERSUS TAXA SELIC;SJS 
M;TMC;CONTRATO A TERMO DE TAXA DE CAMBIO;TMC 
M;TMM;TERMO DE METAL;TMM 
M;TMS;CONTRATO A TERMO DE MOEDA SEM GARANTIA;TMS 
M;TPR;TITULOS PERPETUOS DE REMUNERACAO VARIAVEL BASEADA ROYALTIES;TRV 
M;TR X ANB;SWAP - TR VERSUS TAXA ANBID;STA 
M;TR X IAP;SWAP - TR VERSUS IPCA/IBGE;STL 
M;TR X IGD;SWAP - TR VERSUS IGP-DI;STI 
M;TR X IGM;SWAP - TR VERSUS IGP-M;STM 
M;TR X IND;SWAP - TR VERSUS INDICE BOVESPA;STN 
M;TR X INP;SWAP - TR VERSUS INPC/IBGE;STX 
M;TR X JPY;SWAP - TR VERSUS IENE;STY 
M;TR X OZ1;SWAP - TR VERSUS OURO;STO 
M;TR X PRE;SWAP - TR VERSUS TAXA PREFIXADA;STP 
M;TR X REU;SWAP - TR VERSUS EURO;STE 
M;TR X TBF;SWAP - TR VERSUS TBF;STB 
M;TR X TJL;SWAP - TR VERSUS TJLP;STJ 
M;UNITS;UNITS;UNT 
M;WOZ;CONTRATO DISPONIVEL FRACIONARIO DE OURO;WOZ 
O;OPC ALA;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE ALCOOL;CAL 
O;OPC BG ABR;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBJ 
O;OPC BG AGO;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBQ 
O;OPC BG DEZ;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBZ 
O;OPC BG FEV;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBG 
O;OPC BG JAN;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBF 
O;OPC BG JUL;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBN 
O;OPC BG JUN;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBM 
O;OPC BG MAI;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBK 
O;OPC BG MAR;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBH 
O;OPC BG NOV;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBX 
O;OPC BG OUT;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBV 
O;OPC BG SET;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE BOI GORDO;CBU 
O;OPC CF ABR;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCJ 
O;OPC CF AGO;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCQ 
O;OPC CF DEZ;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCZ 
O;OPC CF FEV;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCG 
O;OPC CF JAN;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCF 
O;OPC CF JUL;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCN 
O;OPC CF JUN;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCM 
O;OPC CF MAI;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCK 
O;OPC CF MAR;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCH 
O;OPC CF NOV;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCX 
O;OPC CF OUT;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCV 
O;OPC CF SET;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE ARABICA;CCU 
O;OPC CNI;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE MILHO;CMI 
O;OPC CNL;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE CAFE CONILLON;CCL 
O;OPC CT;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE ALGODAO;CCT 
O;OPC DI 1;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE DI DE UM DIA SER 1;CD1 
O;OPC DI 2;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE DI DE UM DIA SER 2;CD2 
O;OPC DI 3;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE DI DE UM DIA SER 3;CD3 
O;OPC DI 4;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE DI DE UM DIA SER 4;CI4 
O;OPC DI 5;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE DI DE UM DIA SER 5;CI5 
O;OPC DI 6;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE DI DE UM DIA SER 6;CI6 
O;OPC DI 7;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE DI DE UM DIA SER 7;CI7 
O;OPC DL ABR;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDJ 
O;OPC DL AGO;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDQ 
O;OPC DL DEZ;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDZ 
O;OPC DL FEV;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDG 
O;OPC DL JAN;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDF 
O;OPC DL JUL;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDN 
O;OPC DL JUN;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDM 
O;OPC DL MAI;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDK 
O;OPC DL MAR;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDH 
O;OPC DL NOV;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDX 
O;OPC DL OUT;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDV 
O;OPC DL SET;OPCAO DE COMPRA SOBRE CONTRATO DE DOLAR COMERCIAL;CDU 
O;OPC DLA;OPCAO DE COMPRA COM AJUSTE DE DOLAR;CDL 
O;OPC ETH;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE ETANOL HIDRATADO;CET 
O;OPC ID ABR;OPCAO DE COMPRA SOBRE INDICE IDI;CIJ 
O;OPC ID AGO;OPCAO DE COMPRA SOBRE INDICE IDI;CIQ 
O;OPC ID DEZ;OPCAO DE COMPRA SOBRE INDICE IDI;CIZ 
O;OPC ID FEV;OPCAO DE COMPRA SOBRE INDICE IDI;CIG 
O;OPC ID JAN;OPCAO DE COMPRA SOBRE INDICE IDI;CIF 
O;OPC ID JUL;OPCAO DE COMPRA SOBRE INDICE IDI;CIN 
O;OPC ID JUN;OPCAO DE COMPRA SOBRE INDICE IDI;CIM 
O;OPC ID MAI;OPCAO DE COMPRA SOBRE INDICE IDI;CIK 
O;OPC ID MAR;OPCAO DE COMPRA SOBRE INDICE IDI;CIH 
O;OPC ID NOV;OPCAO DE COMPRA SOBRE INDICE IDI;CIX 
O;OPC ID OUT;OPCAO DE COMPRA SOBRE INDICE IDI;CIV 
O;OPC ID SET;OPCAO DE COMPRA SOBRE INDICE IDI;CIU 
O;OPC ISU;OPCAO DE COMPRA SOBRE CONTRATO FUTURO DE ACUCAR;CIS 
O;OPC M1 ABR;OPCAO DE COMPRA;9D 
O;OPC M1 AGO;OPCAO DE COMPRA;9H 
O;OPC M1 DEZ;OPCAO DE COMPRA;9L 
O;OPC M1 FEV;OPCAO DE COMPRA;9B 
O;OPC M1 JAN;OPCAO DE COMPRA;9A 
O;OPC M1 JUL;OPCAO DE COMPRA;9G 
O;OPC M1 JUN;OPCAO DE COMPRA;9F 
O;OPC M1 MAI;OPCAO DE COMPRA;9E 
O;OPC M1 MAR;OPCAO DE COMPRA;9C 
O;OPC M1 NOV;OPCAO DE COMPRA;9K 
O;OPC M1 OUT;OPCAO DE COMPRA;9J 
O;OPC M1 SET;OPCAO DE COMPRA;9I 
O;OPC OR ABR;OPCAO DE COMPRA DE ACOES ORDINARIAS;3D 
O;OPC OR AGO;OPCAO DE COMPRA DE ACOES ORDINARIAS;3H 
O;OPC OR DEZ;OPCAO DE COMPRA DE ACOES ORDINARIAS;3L 
O;OPC OR FEV;OPCAO DE COMPRA DE ACOES ORDINARIAS;3B 
O;OPC OR JAN;OPCAO DE COMPRA DE ACOES ORDINARIAS;3A 
O;OPC OR JUL;OPCAO DE COMPRA DE ACOES ORDINARIAS;3G 
O;OPC OR JUN;OPCAO DE COMPRA DE ACOES ORDINARIAS;3F 
O;OPC OR MAI;OPCAO DE COMPRA DE ACOES ORDINARIAS;3E 
O;OPC OR MAR;OPCAO DE COMPRA DE ACOES ORDINARIAS;3C 
O;OPC OR NOV;OPCAO DE COMPRA DE ACOES ORDINARIAS;3K 
O;OPC OR OUT;OPCAO DE COMPRA DE ACOES ORDINARIAS;3J 
O;OPC OR SET;OPCAO DE COMPRA DE ACOES ORDINARIAS;3I 
O;OPC OZ ABR;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COJ 
O;OPC OZ AGO;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COQ 
O;OPC OZ DEZ;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COZ 
O;OPC OZ FEV;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COG 
O;OPC OZ JAN;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COF 
O;OPC OZ JUL;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;CON 
O;OPC OZ JUN;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COM 
O;OPC OZ MAI;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COK 
O;OPC OZ MAR;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COH 
O;OPC OZ NOV;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COX 
O;OPC OZ OUT;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COV 
O;OPC OZ SET;OPCAO DE COMPRA SOBRE CONTRATO DE OURO DE 250G;COU 
O;OPC PA ABR;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5D 
O;OPC PA AGO;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5H 
O;OPC PA DEZ;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5L 
O;OPC PA FEV;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5B 
O;OPC PA JAN;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5A 
O;OPC PA JUL;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5G 
O;OPC PA JUN;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5F 
O;OPC PA MAI;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5E 
O;OPC PA MAR;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5C 
O;OPC PA NOV;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5K 
O;OPC PA OUT;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5J 
O;OPC PA SET;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE A;5I 
O;OPC PB ABR;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE B;6D 
O;OPC PB AGO;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE B;6H 
O;OPC PB DEZ;OPCAO DE COMPRA DE ACOES PREFERENCIAIS CLASSE B;6L 
