#CNPJ;NAME;CVMCODE;STATUS_DATE;STATUS
05.447.834/0001-63;BRASIF ELECTRONICS;505552;1997-11-10;CANCELED
32.476.525/0001-94;BRASIGRAN BRASILEIRA DE GRANITOS SA;510726;2000-11-29;CANCELED
84.489.996/0001-30;BRASIL & MOVIMENTOS S/A;20109;2009-03-30;CANCELED
04.833.448/0001-47;BRASIL BELEM HOTEIS E TURISMO SA;1937;2010-01-04;CANCELED
66.890.369/0001-25;BRASIL BETON SA;13927;1995-05-25;CANCELED
08.613.550/0001-98;BRASIL BROKERS PARTICIPAÇÕES SA;21180;2007-10-26;ACTIVE
00.311.787/0001-02;BRASIL CENTRAL HOTEIS E TUR SA;1880;1998-12-30;CANCELED
02.457.269/0001-27;BRASIL FERROVIAS S.A.;17353;2008-07-17;CANCELED
12.523.106/0001-59;BRASIL METAL SA;506885;2012-02-14;CANCELED
33.206.475/0001-98;BRASIL OITICICA S/A;13110;2005-03-22;CANCELED
06.022.461/0001-41;BRASIL OLEOS INDUSTRIA COMERCIO SA BRASOLEO;1899;2005-12-20;CANCELED
11.395.624/0001-71;BRASIL PHARMA SA - EM RECUPERAÇÃO JUDICIAL;22500;2011-06-22;ACTIVE
12.610.764/0001-88;BRASIL PLURAL SECURITIZADORA S.A.;22233;2018-04-30;CANCELED
13.483.537/0001-00;BRASIL SECURITIZADORA S.A.;24287;2017-12-12;ACTIVE
02.570.688/0001-70;BRASIL TELECOM PARTICIPAÇÕES SA;17680;2009-09-30;CANCELED
13.776.362/0001-10;BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A;22705;2012-09-03;CANCELED
07.628.528/0001-59;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;20036;2006-04-25;ACTIVE
00.108.795/0001-56;BRASILIA EMPREEND AGROPEC SA;506354;1992-01-23;CANCELED
05.482.166/0001-05;BRASILIANA ENERGIA SA;19534;2006-09-30;CANCELED
08.773.191/0001-36;BRASILIANA PARTICIPAÇÕES S.A.;23930;2016-06-23;ACTIVE
20.706.727/0001-04;BRASILINVEST INFORM.TELEC.S/A;1902;1995-12-15;CANCELED
61.064.838/0001-33;BRASILIT SA;1910;2001-06-01;CANCELED
33.177.734/0001-08;BRASILJUTA SA FIACAO TEC JUTA;1929;1993-03-01;CANCELED
18.219.964/0001-90;BRASILTON CONTAGEM HOTEIS E TURISMO SA;518611;2007-09-24;CANCELED
60.856.820/0001-01;BRASIMET COM E INDUSTRIA SA;1945;1993-09-15;CANCELED
42.150.391/0001-70;BRASKEM S.A.;4820;1978-12-18;ACTIVE
19.902.006/0001-82;BRASMAG-CIA BRAS DE MAGNESIO;506362;1993-02-26;CANCELED
60.837.689/0001-35;BRASMETAL CIA BRAS METALURGIA;1961;1990-12-28;CANCELED
63.875.322/0001-02;BRASMODAL SA NAVEG E TRANSP;513555;1998-05-13;CANCELED
61.084.984/0001-20;BRASMOTOR SA;1970;2016-12-22;CANCELED
04.885.034/0001-61;BRASNOR AGROPECUARIA SA;514640;2011-10-14;CANCELED
01.394.866/0001-97;BRASPACK - EMBALAGENS DO NORDESTE;518735;2015-01-15;CANCELED
09.258.807/0001-01;BRASTEX SA;506737;2012-02-14;CANCELED
39.346.762/0001-80;BRASVIT GRANITO E MINERACAO SA;515795;2012-02-14;CANCELED
16.486.201/0001-80;BRASWEY NE SA IND E COM;512745;1991-11-27;CANCELED
01.946.997/0001-30;BRAUSTAM HOTEIS REIT SA;19399;2005-07-21;CANCELED
03.144.779/0001-07;BRAVO SECURITIZADORA S/A;19674;2008-10-31;CANCELED
10.826.798/0001-89;BRAZAL - BRASIL ALIMENTOS S.A.;21865;2016-08-30;CANCELED
-;BRAZIL FAST FOOD CORP.;80012;2002-12-23;CANCELED
07.119.838/0001-48;BRAZIL REALTY CIA SECURITIZADORA DE CREDITOS IMOLIARIOS;19720;2005-05-02;ACTIVE
02.762.113/0001-50;BRAZILIAN FINANCE & REAL ESTATE S.A.;17922;1998-11-10;ACTIVE
03.767.538/0001-14;BRAZILIAN SECURITIES CIA SECURITIZAÇÃO;18759;2000-09-04;ACTIVE
33.136.888/0001-43;BRB CRED FINANC E INVEST SA;6009;1987-05-08;CANCELED
00.000.208/0001-00;BRB-BANCO DE BRASILIA SA;14206;1993-09-24;ACTIVE
08.653.753/0001-08;BRC SECURITIZADORA SA;20672;2007-04-20;ACTIVE
11.165.594/0001-07;BREJO VELHO ALIM SA;503584;2004-07-07;CANCELED
13.603.733/0001-62;BRESPEL CIA INDL BRAS ESPANHA;513776;2012-02-14;CANCELED
01.838.723/0001-27;BRF S.A.;16292;1997-06-24;ACTIVE
04.134.540/0001-19;BRILASA BRITAGEM E LAMINAÇÃO DE ROCHAS S/A;509990;2016-05-02;CANCELED
61.068.557/0001-59;BRINQUEDOS BANDEIRANTES SA;2003;1993-09-10;CANCELED
61.322.731/0001-48;BRINQUEDOS MIMO SA;2011;2005-12-20;CANCELED
07.700.557/0001-84;BROOKFIELD INCORPORAÇÕES S.A.;20265;2016-08-24;CANCELED
58.877.812/0001-08;BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.;19046;2012-06-14;CANCELED
39.335.443/0001-79;BROTAS GENETICA S/A;515710;2012-10-24;CANCELED
39.335.443/0001-79;BROTAS GENETICA S/A;519952;2014-10-22;CANCELED
07.088.416/0001-52;BRPR 45 SECURITZADORA CRED IMOB SA;19895;2017-11-14;CANCELED
04.800.265/0001-25;BRPR 51 SECURITZADORA CRED IMOB SA;19372;2015-10-05;CANCELED
07.033.882/0001-30;BRPR 52 SECURITZADORA CRED IMOB SA;19976;2015-11-03;CANCELED
04.370.082/0001-17;BRPR 53 SECURITZADORA CRED IMOB SA;19380;2016-09-13;CANCELED
07.710.591/0001-30;BRPR 55 SECURITZADORA CRED IMOB SA;19941;2006-01-26;ACTIVE
06.137.677/0001-52;BRPR 56 SECURITZADORA CRED IMOB SA;19984;2006-02-22;ACTIVE
36.542.025/0001-64;BRQ SOLUÇÕES EM INFORMÁTICA S.A.;23817;2016-01-11;ACTIVE
09.462.890/0001-28;BRT HOLDING 1 SA;21580;2014-12-17;CANCELED
52.082.872/0001-40;BRUMADINHO SA MIN E METAIS;12971;2005-08-09;CANCELED
03.468.802/0001-19;BRZ INVESTIMENTOS S/A;21415;2011-07-20;CANCELED
60.736.279/0001-06;BS CONTINENTAL SA ULTL DOMEST;6327;1999-03-25;CANCELED
61.356.762/0001-10;BS INFORM E ADMINISTR SA;876;1991-10-04;CANCELED
10.603.674/0001-34;BS&C EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;23779;2016-06-14;CANCELED
68.704.923/0001-68;BSE SA;18864;2004-01-19;CANCELED
11.257.352/0001-43;BSI CAPITAL SECURITIZADORA S.A.;23132;2013-04-17;ACTIVE
07.110.438/0001-71;BTG PACTUAL SECURITIZADORA S.A;19690;2015-06-24;CANCELED
59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;13897;1999-04-28;CANCELED
21.948.105/0001-47;BTGI QUARTZO PARTICIPAÇÕES S.A.;23850;2016-02-19;ACTIVE
21.976.510/0001-79;BTGI SAFIRA PARTICIPAÇÕES S.A.;23841;2016-02-19;ACTIVE
28.126.928/0001-36;BUAIZ SA INDUSTRIA E COMERCIO;2020;1991-04-05;CANCELED
22.940.613/0001-41;BUBAMAZON-BUBALINOS DA AM SA;511048;2012-10-24;CANCELED
22.940.613/0001-41;BUBAMAZON-BUBALINOS DA AM SA;519510;2013-02-14;CANCELED
86.047.198/0001-84;BUDDEMEYER S/A;19801;2011-04-29;CANCELED
82.981.812/0001-20;BUETTNER SA IND E COMÉRCIO;2038;2018-05-30;CANCELED
04.851.887/0001-82;BUFALO DO MARAJO S. A. BUMASA.;515566;2012-02-14;CANCELED
08.168.031/0001-68;BUFALOS DE PERNAMBUCO SA;507393;2007-06-20;CANCELED
02.109.419/0001-01;BULHOES CARVALHO F NOTES SA;16845;2000-12-20;CANCELED
84.046.101/0001-93;BUNGE ALIMENTOS SA;2593;2002-10-08;CANCELED
61.074.092/0001-49;BUNGE BRASIL SA;10278;2004-10-07;CANCELED
61.082.822/0001-53;BUNGE FERTILIZANTES SA;8370;2002-10-08;CANCELED
61.206.355/0001-26;BURITI INDUSTRIAL SA;512885;2012-02-14;CANCELED
07.345.119/0001-45;BURLAMAQUE EMPREEND AGRI SA;508527;2012-02-14;CANCELED
84.684.471/0001-56;BUSCHLE & LEPPER SA;2046;1990-03-29;CANCELED
31.093.792/0001-10;BUZIOS PALACE HOTEIS E TURISMO SA;518336;2005-10-20;CANCELED
01.858.774/0001-10;BV LEASING - ARRENDAMENTO MERCANTIL S/A;20133;2006-06-23;ACTIVE
04.794.781/0001-94;BVA EMPREENDIMENTOS SA;19488;2006-08-15;CANCELED
00.019.388/0001-72;BWU VIDEO SA;15440;2001-02-20;CANCELED
58.798.612/0001-51;C. P. E. PENINSULA DO TUCURUÇUTUBA;16837;2006-10-11;CANCELED
08.602.963/0001-77;CABERNA-CIA AGROPEC S BERNADET;511951;2012-02-14;CANCELED
04.030.182/0001-02;CABINDA PARTICIPAÇÕES SA;19119;2001-10-29;ACTIVE
06.787.873/0001-72;CABISA-CANTO BURITI AGROIND SA;507040;2008-09-28;CANCELED
05.336.882/0001-84;CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA SA;22683;2011-12-19;ACTIVE
20.933.354/0001-04;CACHOEIRA VELONORTE;4111;2016-07-08;CANCELED
05.966.627/0001-15;CACOAL REFRIGERANTES SA;507970;2003-03-07;CANCELED
04.031.213/0001-31;CACONDE PARTICIPAÇÕES SA;19135;2001-10-29;ACTIVE
31.865.728/0001-00;CAEMI MINERAÇÃO E METALURGIA S.A.;13552;2006-07-18;CANCELED
84.584.481/0001-10;CAETANO BRANCO SA;2054;1994-07-20;CANCELED
16.089.526/0001-20;CAF NORDESTE SA;501042;1991-11-06;CANCELED
27.285.063/0001-98;CAFE EXPEDICIONARIO IND COM SA;516961;2008-05-02;CANCELED
25.869.736/0001-21;CAFE SOLUVEL BRASILIA SA;2062;2014-12-18;CANCELED
24.105.777/0001-89;CAGISA-CARIRI AGRICOLA SA;512451;2008-09-28;CANCELED
04.038.763/0001-82;CAIANDA PARTICIPAÇÕES SA;19097;2001-10-29;ACTIVE
22.770.614/0001-95;CAIAUE AGROINDL SA;513342;2012-02-14;CANCELED
05.637.350/0001-87;CAIBA INDUSTRIA E COMERCIO SA.;515175;1993-06-22;CANCELED
04.031.882/0001-03;CAICOS PARTICIPAÇÕES SA;19127;2005-01-27;CANCELED
04.994.224/0001-17;CAINZA AGROINDL DA AM SA;511960;2008-09-28;CANCELED
12.147.104/0001-02;CAISA CIA AGRI INDEPEND SA;510050;2008-09-28;CANCELED
00.979.969/0001-56;CAIXA ADM DIV PUB ESTADUAL SA;15717;1996-09-04;ACTIVE
34.020.354/0001-10;CAIXA SEGURADORA SA;15687;2011-04-11;CANCELED
22.543.331/0001-00;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;23795;2015-12-17;ACTIVE
07.340.946/0001-46;CAJU INDUSTRIAL SA CISA;2070;2006-03-21;CANCELED
00.109.751/0001-40;CAJUASA CAJU DE ARRAIAS SA;514713;2008-09-28;CANCELED
07.086.580/0001-20;CAJUEIRO AGROPASTORIL INDUSTRIAL S/A;500208;2012-02-14;CANCELED
08.586.281/0001-18;CAJUEIRO AGROPECUÁRIA S/A;518913;2009-09-30;CANCELED
06.565.410/0001-66;CAJUNORTE DO BRASIL SA;2089;2004-01-06;CANCELED
98.408.073/0001-11;CALÇADOS AZALÉIA SA;19003;2008-10-14;CANCELED
35.968.817/0001-32;CALCADOS COLETA SA;513334;2008-09-28;CANCELED
27.177.096/0001-14;CALCADOS ITAPUA SA IND E COM;506753;1998-08-02;CANCELED
90.261.199/0001-02;CALCADOS ORTOPE SA IND E COM;2097;1985-05-21;CANCELED
12.929.188/0001-36;CALCADOS SANTA RITA S. A.;515558;2012-02-14;CANCELED
11.021.326/0001-11;CALCAREO DE PERNAMBUCO SA;505412;2012-02-14;CANCELED
11.021.326/0001-11;CALCAREO DE PERNAMBUCO SA;519529;2013-03-05;CANCELED
23.549.272/0001-40;CALCÁRIO DO BRASIL S/A;516457;2013-05-03;CANCELED
27.751.924/0001-86;CALEDÔNIA HOTEIS SA;517020;2007-01-08;CANCELED
10.678.456/0001-69;CALF-CALÇADOS E EPIS SA;512508;2012-02-14;CANCELED
02.992.453/0001-77;CALIBRE PARTICIPAÇÕES S/A;18325;2003-10-09;CANCELED
11.172.137/0001-40;CALMINA CIA INT CALC E MIN;505803;2012-02-14;CANCELED
11.172.137/0001-40;CALMINA CIA INT CALC E MIN;519340;2012-09-14;CANCELED
11.443.926/0001-78;CALUMBI AGROINDL SA;506281;2000-03-09;CANCELED
15.310.378/0001-69;CAMALTA-CAMAROES TERA ALTA SA;512559;2012-02-14;CANCELED
67.203.208/0001-89;CAMARGO CORREA DESENVOLVIMENTO IMOBILIARIO SA;20486;2012-10-19;CANCELED
23.030.398/0001-04;CAMARGO FERRAZ METALUR INDL SA;514861;2012-02-14;CANCELED
14.716.963/0001-09;CAMASA-CAMAROES ATALAIA SA;512605;2012-02-14;CANCELED
15.308.356/0001-64;CAMAZON-CAMAROES DA AM SA;512532;2008-09-28;CANCELED
61.088.894/0001-08;CAMBUCI SA;2100;1985-01-05;ACTIVE
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2017-09-26;ACTIVE
05.032.867/0001-42;CAMPASA CAMAROES DO PARA SA;507270;2012-02-14;CANCELED
08.848.228/0001-48;CAMPINA GDE AGROMERC SA;501182;2012-02-14;CANCELED
08.823.932/0001-46;CAMPINENSE INDUSTRIAS GERAIS SA;4880;2006-03-21;CANCELED
04.257.648/0001-07;CAMPO LIMPO AGROPEC SA;507083;2012-10-24;CANCELED
23.488.810/0001-34;CAMPO LIMPO AGROPEC SA;514489;2012-02-14;CANCELED
11.124.260/0001-95;CAMPO VERDE AGROPEC SA;502685;2012-02-14;CANCELED
11.124.260/0001-95;CAMPO VERDE AGROPEC SA;520217;2016-01-06;CANCELED
11.577.749/0001-12;CAN CIA AGRI DO NORDESTE;505048;2008-09-28;CANCELED
08.092.736/0001-49;CANABRAVA AGROPASTORIL SA;502901;1995-12-26;CANCELED
01.533.298/0001-68;CANADENSE SA INDUSTRIA E PNEUS AGRICOLA;2119;2005-03-22;CANCELED
22.670.418/0001-49;CANOEIRO AGROPEC SA;500399;1995-03-21;CANCELED
09.022.138/0001-66;CANTO DA ITAUEIRA AGROINDL SA;514144;2012-02-14;CANCELED
06.866.792/0001-68;CAPEBA-CIA AGROPEC INDL B ALIM;505633;2012-02-14;CANCELED
11.671.690/0001-27;CAPEFE-CIA AGROP FAZ ESPLANADA;504491;1993-10-21;CANCELED
05.495.452/0001-05;CAPISA-CAROLINA AGRO INDL S A;515701;2012-10-24;CANCELED
15.229.110/0001-05;CAPITALE SECURITIZADORA DE CREDITO S.A.;23353;2014-03-07;ACTIVE
02.591.787/0001-39;CAPITALPART PARTICIPAÇÕES SA;17493;1998-07-09;ACTIVE
05.398.901/0001-05;CAPRI LOGISTICA S/A;518603;2015-05-29;CANCELED
08.642.503/0001-72;CAPRI PARTICIPAÇÕES SA;21296;2009-03-30;CANCELED
07.181.704/0001-57;CAPRIBOI CAPRINOS E BOVINOS DO CEARÁ SA;517569;2012-02-14;CANCELED
11.450.863/0001-87;CAPRIG CIA AGRI PORTEIRAS RG;503134;1994-10-24;CANCELED
06.508.436/0001-72;CAPRINOCULTURA DO PI SA;507768;2012-02-14;CANCELED
11.458.643/0001-08;CAPRINOR SA-AGROPEC INDL COML;500518;2008-09-28;CANCELED
15.720.212/0001-10;CAPRINOS DA BAHIA SA;500127;2012-02-14;CANCELED
15.224.488/0001-08;CARAIBA METAIS SA;13722;2009-11-13;CANCELED
04.702.445/0001-74;CARAJAS AGRO FLORESTAL SA;515086;2012-02-14;CANCELED
79.119.939/0001-20;CARAMURU ALIMENTOS DE MILHO SA;2127;1986-03-26;CANCELED
04.868.980/0001-08;CARANA CIA AGOPAST RIO ANAJAS;507121;2012-10-24;CANCELED
16.998.890/0001-02;CARATINGA AGROPEC SA;503304;2006-10-23;CANCELED
28.504.330/0001-33;CARBODERIVADOS SA;502383;2002-02-21;CANCELED
07.645.062/0001-08;CARBOMIL QUÍMICA S/A;501131;2013-05-03;CANCELED
07.253.321/0001-47;CARBOMIL SA MINER. E INDUSTRIA;14168;1993-07-27;ACTIVE
17.059.056/0001-14;CARBOVEGETAL SA IND E COM;500666;2012-02-14;CANCELED
07.170.657/0001-46;CARCINICULTURA KAMMAROS SA;509558;2012-02-14;CANCELED
07.170.657/0001-46;CARCINICULTURA KAMMAROS SA;519421;2012-10-31;CANCELED
25.633.934/0001-91;CARFEPE SA - ADMINISTRADORA E PARTICIPADORA;2135;2010-01-04;CANCELED
61.156.501/0001-56;CARGILL FERTILIZANTES SA;10863;2003-08-20;CANCELED
07.573.058/0001-73;CARIRI INDUSTRIAL DE OLEOS SA;2143;2010-05-07;CANCELED
06.714.182/0001-49;CARNAIBAS AGROPEC SA;504203;2012-02-14;CANCELED
06.714.182/0001-49;CARNAIBAS AGROPEC SA;519448;2012-12-14;CANCELED
07.960.347/0001-25;CAROBA AGROPEC SA;505897;2012-02-14;CANCELED
09.146.077/0001-49;CARTAXO AGROPEC SA;504882;2012-02-14;CANCELED
22.977.219/0001-88;CARTONBRAS CARTON.DO BRASIL SA;511064;2008-09-28;CANCELED
09.306.358/0001-11;CARVPLAST IND COM PLASTICOS SA;517291;2010-10-06;CANCELED
61.565.511/0001-45;CASA ANGLO BRASILEIRA S/A;2178;2005-08-09;CANCELED
92.692.946/0001-84;CASA DICO SA COM E INDUSTRIA;2186;1987-06-05;CANCELED
33.024.860/0001-14;CASA JOSE SILVA CONFECCOES SA;2194;1998-12-30;CANCELED
92.795.673/0001-01;CASA MASSON SA COM E INDUSTRIA;2208;2005-03-22;CANCELED
33.256.918/0001-55;CASAS DA BANHA COMERCIO E INDUSTRIA SA;2216;2005-12-20;CANCELED
02.036.214/0001-43;CASCAIS PARTICIPACOES SA;16543;1999-12-13;CANCELED
07.092.232/0001-66;CASCAJU AGROINDUSTRIAL SA;13226;1988-09-28;CANCELED
12.077.319/0001-02;CASMIG CIA AGRI SAO MIGUEL;514330;2012-02-14;CANCELED
28.053.296/0001-28;CASSARO SA IND E COM;510610;2012-02-14;CANCELED
10.310.530/0001-90;CASTANHA INDL DO PI SA;504130;2012-02-14;CANCELED
41.210.667/0001-04;CASTELO AGRICOLA SA;516627;2012-02-14;CANCELED
08.982.647/0001-78;CASTIÇA AGROPECUARIA SA;503851;2001-12-29;CANCELED
15.689.185/0001-60;CATA NE SA;501662;2007-12-21;CANCELED
14.468.870/0001-02;CAUARUAU AGROPEC SA;512010;2012-02-14;CANCELED
06.644.843/0001-07;CAUCAIA AGROPEC SA - CAPISA;500097;2012-02-14;CANCELED
07.138.860/0001-35;CAUCAIA INDUSTRIAL SA CAISA;2259;1997-02-17;CANCELED
12.350.799/0001-25;CAUIPE AGROINDL SA;514764;2012-02-14;CANCELED
09.933.219/0001-18;CAULIM DO NE SA;518956;2010-03-06;CANCELED
05.607.122/0001-64;CAUME AGROPASTORIL SA;505170;2017-06-01;CANCELED
04.725.925/0001-50;CAVIANA AGROPECUARIA SA;515183;2008-09-28;CANCELED
10.742.351/0001-21;CAVISA - CAMPOS VILAR SA;500968;2012-02-14;CANCELED
00.027.742/0001-00;CBCC PARTICIPAÇÕES SA;17728;2010-11-16;CANCELED
33.053.729/0001-85;CBEI CIA BRASILEIRA ENGENHARIA E INDUSTRIA;2275;2005-08-09;CANCELED
60.402.153/0001-97;CBH CIA BRAS HABITACAO;2283;1985-03-04;CANCELED
10.939.759/0001-98;CBM CIA BRAS DE EMBALAGENS;509353;2012-02-14;CANCELED
09.091.752/0001-80;CBS-CIA BRAS DE SAL REFINADO;501506;2008-09-28;CANCELED
15.234.115/0001-18;CBV EQUIPAMENTOS INDS SA;2313;1987-12-04;CANCELED
33.051.186/0001-67;CBV INDUSTRIA MECANICA SA;2305;1999-05-13;CANCELED
15.213.143/0001-59;CBV NORDESTE IND MECANICA SA;2321;1994-08-15;CANCELED
05.836.218/0001-02;CCB - CIA CRIADORA DE BULAFOS;508691;2012-02-14;CANCELED
69.720.910/0001-45;CCB BRASIL ARRENDAMENTO MERCANTIL S/A;15121;1995-11-16;ACTIVE
13.574.736/0001-15;CCB CIA DE CITRICOS DO BRASIL;500135;2003-11-12;CANCELED
06.065.247/0001-72;CCC CERAMICA CONSTR E COM SA;503266;1995-04-17;CANCELED
15.109.739/0001-03;CCC CIA DE CARBONOS COLOIDAIS;2330;2005-12-20;CANCELED
61.345.096/0001-14;CCE IND COM;2348;1986-03-12;CANCELED
03.438.637/0001-52;CCO AGROPEC SA;504610;2012-02-14;CANCELED
02.846.056/0001-97;CCR S.A.;18821;2000-12-19;ACTIVE
07.950.674/0001-04;CCX CARVÃO DA COLOMBIA S.A.;20184;2006-07-19;ACTIVE
62.463.005/0001-08;CEAGESP CIA ENTR ARM GERAIS SP;2356;1996-03-27;CANCELED
05.382.742/0001-42;CECAL-CERAMICA CASCAVEL SA;501794;2012-02-14;CANCELED
07.174.006/0001-24;CECASA;2496;2006-03-21;CANCELED
79.655.916/0001-30;CECRISA REVESTIMENTOS CERAMICOS SA;15610;2012-03-13;CANCELED
17.158.536/0001-32;CEESA-CONST.ESTRADAS ESTR. SA;14290;1995-01-11;CANCELED
02.201.787/0001-85;CEL PARTICIPAÇÕES S.A. - CELPAR;16675;1997-12-01;ACTIVE
31.001.230/0001-07;CELEO REDES TRANSMISSÃO DE ENERGIA S.A.;24597;2018-12-12;ACTIVE
01.543.032/0001-04;CELG DISTRIBUIÇÃO S.A.;2445;2008-04-29;CANCELED
61.135.711/0001-68;CELITE SA IND E COMERCIO;2399;1999-06-29;CANCELED
61.086.823/0001-76;CELM CIA EQUIP LABS MODERNOS;2402;2011-01-04;CANCELED
03.010.016/0001-73;CELULAR CRT PARTICIPAÇÕES S.A.;18210;2006-02-22;CANCELED
10.422.699/0001-31;CELULOSE E PAPEL DE PERNAMBUCO S/A;500879;2018-04-12;CANCELED
92.791.243/0001-03;CELULOSE IRANI SA;2429;1977-07-20;ACTIVE
16.129.371/0001-08;CEMA AGROINDL SA;507385;2012-02-14;CANCELED
07.844.087/0001-22;CEMAG SA;13013;2010-01-04;CANCELED
93.828.986/0001-73;CEMEPE INVESTIMENTOS SA;13854;1991-06-28;ACTIVE
06.981.180/0001-16;CEMIG DISTRIBUIÇÃO S/A;20303;2006-09-25;ACTIVE
06.981.176/0001-58;CEMIG GERAÇÃO E TRANSMISSÃO S/A;20320;2006-10-10;ACTIVE
02.983.428/0001-27;CEMIG TELECOMUNICAÇÕES S/A;18716;2018-03-31;CANCELED
11.861.069/0001-26;CEMISA-COQUEIROS CEARA MIRIM;501352;2004-09-09;CANCELED
07.949.970/0001-87;CENTENNIAL ASSET PART. MINAS-RIO S/A;20176;2013-11-11;CANCELED
08.835.366/0001-92;CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA;21245;2014-03-24;CANCELED
34.615.682/0001-69;CENTENO & MOREIRA S/A;511650;2012-02-14;CANCELED
04.200.572/0001-75;CENTENOR EMPREEND SA;500526;2012-02-14;CANCELED
04.200.572/0001-75;CENTENOR EMPREEND SA;519987;2015-01-12;ACTIVE
00.001.180/0001-26;CENTRAIS ELETRICAS BRASILEIRAS SA;2437;1971-01-28;ACTIVE
01.672.223/0001-68;CENTRAIS ELÉTRICAS CACHOEIRA DOURADA S/A;16322;2001-09-17;CANCELED
83.878.892/0001-55;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;2461;1973-03-26;ACTIVE
04.895.728/0001-80;CENTRAIS ELÉTRICAS DO PARÁ S.A. - CELPA;18309;1999-06-14;ACTIVE
12.718.011/0001-90;CENTRAL ACUCAR STO ANTONIO SA;505030;2012-02-14;CANCELED
04.764.577/0001-20;CENTRAL E. G. R. AJURICABA SA;510351;2012-02-14;CANCELED
11.497.229/0001-08;CENTRO AGROPASTORIL RIACHO NAVIO S/A;502146;2010-03-06;CANCELED
42.771.949/0001-35;CENTRO DE IMAGEM DIAGNÓSTICOS S.A.;24058;2016-10-26;ACTIVE
09.866.294/0001-03;CENTRO HOSPITALAR ALBERT SABIN SA;15318;2010-01-04;CANCELED
04.645.560/0001-54;CENTRO OTICO DA AMAZONIA SA;505390;2012-02-14;CANCELED
02.191.115/0001-36;CENTRO SECULO XXI SA;16640;2002-12-16;CANCELED
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;21857;2009-11-27;ACTIVE
61.708.426/0001-99;CEPEBE SA;2470;1987-07-06;CANCELED
52.736.840/0001-10;CERAMICA CHIARELLI SA - EM RECUPERAÇÃO JUDICIAL;2488;2016-11-30;CANCELED
09.378.316/0001-96;CERAMICA CORDEIRO DO NE SA;502251;2008-09-28;CANCELED
08.252.330/0001-86;CERAMICA DE MOSSORO SA CERAMOS;518352;2005-10-17;CANCELED
03.266.335/0001-44;CERAMICA JUNCO SA;512109;2012-02-14;CANCELED
55.186.423/0001-30;CERAMICA PORTO FERREIRA SA;2500;1995-10-06;CANCELED
07.008.253/0001-50;CERAMICA QUEIROZ SA;517771;2012-10-24;CANCELED
04.791.307/0001-09;CERAMICA ROSALINO SA;504955;2012-02-14;CANCELED
13.034.863/0001-21;CERAMICA SANTA MARCIA SA;2518;1987-12-10;CANCELED
13.034.863/0001-21;CERAMICA SANTA MARCIA SA;503096;2012-02-14;CANCELED
10.791.218/0001-65;CERAMICA SANTO ANTONIO SA;2526;1987-10-16;CANCELED
52.736.790/0001-71;CERAMICA SAO JOSE GUACU;2542;1988-09-12;CANCELED
15.104.383/0001-15;CERAMICA SERGIPE SA CERSESA;506010;2007-09-12;CANCELED
07.058.951/0001-60;CERAMICA TERRACOTA SA;514683;2008-09-28;CANCELED
13.786.785/0001-11;CÉRAMUS BAHIA S.A. - PRODUTOS CERÂMICOS;500909;2010-07-22;CANCELED
60.933.603/0001-78;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;2577;1971-09-27;ACTIVE
61.550.497/0001-06;CETENCO ENGENHARIA SA;2585;2002-11-22;CANCELED
00.956.274/0001-59;CETERP-CENT TELEF RIB PRETO SA;15288;2000-10-24;CANCELED
09.358.105/0001-91;CETIP S.A. - MERCADOS ORGANIZADOS;21792;2017-07-03;CANCELED
24.959.199/0001-48;CEVAL CENTRO OESTE S/A;517631;2012-02-14;CANCELED
02.189.227/0001-52;CEVAL PARTICIPAÇOES SA;16829;1999-10-15;CANCELED
60.586.948/0001-00;CEVEKOL SA IND COM PROD QUIM;2607;2005-03-22;CANCELED
25.560.525/0001-02;CHAPADA DA PRATA SA;512915;2012-10-24;CANCELED
25.560.525/0001-02;CHAPADA DA PRATA SA;520110;2015-07-20;CANCELED
32.476.608/0001-83;CHAPADAO AGRI SA;509094;1997-06-27;CANCELED
82.949.371/0001-89;CHAPECO CIA INDL DE ALIMENTOS;12637;1994-06-03;CANCELED
77.404.937/0001-57;CHAPECO PARANA SA IND E COM;2615;1988-08-16;CANCELED
43.817.154/0001-83;CHASE MANHATTAN LEASING SA A M;8419;2000-07-07;CANCELED
12.000.469/0001-00;CHAVES HOT E TUR SA;503290;2012-02-14;CANCELED
03.391.520/0001-60;CHEMICAL TRUST S/A;18767;2005-01-07;CANCELED
07.450.604/0001-89;CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A.;21113;2015-10-19;CANCELED
04.069.035/0001-38;CIA AGREGADOS LEVES DO PARA;509787;2008-09-28;CANCELED
