#SYMBOL;DESCRIPTION;ISIN;CURRENCY_BASE;CONTRACT_SIZE;TICK_SIZE;TICK_VALUE;DIGITS;MIN_VOLUME;MAX_VOLUME;STEP_VOLUME;START_TIME;EXPIRATION_TIME;OPTION_MODE;OPTION_RIGHT;OPTION_STRIKE
ABEVA89;ABEVE       ON   18,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.01.18 20:59:59;0;0;0.00000000
ABEVA96;ABEVE       ON   16,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.01.18 20:59:59;0;0;0.00000000
ABEVA97;ABEV        ON   17,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.01.18 20:59:59;0;0;0.00000000
ABEVA98;ABEVE       ON   18,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.01.18 20:59:59;0;0;0.00000000
ABEVA99;ABEVE       ON   19,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.01.18 20:59:59;0;0;0.00000000
ABEVB15;ABEVE       ON   14,86;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB17;ABEVE       ON   16,86;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB19;ABEVE       ON   18,86;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB20;ABEVE       ON   19,86;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB22;ABEVE       ON   21,86;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB3;ABEVE       ON   13,36;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB45;ABEV        ON   15,61;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB47;ABEV        ON   17,11;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB49;ABEV        ON   19,11;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB51;ABEVE       ON   21,36;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB6;ABEVE       ON   15,86;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB64;ABEV        ON   13,61;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB71;ABEV        ON   20,61;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB72;ABEVE       ON   20,86;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB77;ABEVE       ON   17,36;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB78;ABEV        ON   18,61;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB8;ABEVE       ON   18,36;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB81;ABEVE       ON   13,86;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
