ARCE3;BRARCEACNOR7;ARCE;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ARCZ5;BRARCZACNPA5;ARCZ;ACOES PREFERENCIAIS CLASSE A;;;A;;;;ACN;E;10;0.0;ACN;PA
ARL 3;BRARLAACNOR6;ARLA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ARL 4;BRARLAACNPR3;ARLA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ARLA3;BRARLAACNOR6;ARLA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ARLA4;BRARLAACNPR3;ARLA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ARMT34;BRARMTBDR008;ARMT;2 BDRS REPRESENTATIVOS DE 1 ACAO ORDINARIA;;;A;;;;BDR;E;10;0.0;BDR;
ARN 3;BRARNOACNOR3;ARNO;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ARN 4;BRARNOACNPR0;ARNO;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ARP 4;BRARPSACNPR6;ARPS;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ARPS4;BRARPSACNPR6;ARPS;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ART 4;BRARTEACNPR8;ARTE;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ARTE3;BRARTEACNOR1;ARTE;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AALC11B;BRAALCBDR002;AALC;BDRS REPRESENTATIVOS DE 2 ACOES ORDINARIAS CADA UM;;;A;;;;BDR;E;10;0.0;BDR;
AAPL11B;BRAAPLBDR004;AAPL;10 BDRS REPRESENTATIVOS DE 1 ACAO ORDINARIA;;;A;;;;BDR;E;10;0.0;BDR;
AAPL34;BRAAPLBDR004;AAPL;10 BDRS REPRESENTATIVOS DE 1 ACAO ORDINARIA;;;A;;;;BDR;E;10;0.0;BDR;
ABCB10;BRABCBR04PR3;ABCB;RECIBOS DE SUBSCRICAO DE ACOES PREFERENCIAIS - E: 07/2013;;;A;;;;R;E;10;0.0;R;
ABCP11;BRABCPCTF000;ABCP;COTAS;;;A;;;;CTF;E;10;0.0;CTF;
ABTT34;BRABTTBDR007;ABTT;4 BDRS REPRESENTATIVOS DE 1 ACAO ORDINARIA;;;A;;;;BDR;E;10;0.0;BDR;
ACE 4;BRACESACNPR2;ACES;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ACES3;BRACESACNOR5;ACES;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ACES4;BRACESACNPR2;ACES;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ACGU3;BRACGUACNOR6;ACGU;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AEFI11;BRAEFICTF002;AEFI;COTAS;;;A;;;;CTF;E;10;0.0;CTF;
AELP3;BRAELPACNOR2;AELP;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AESL3;BRAESLACNOR6;AESL;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AFLT3;BRAFLTACNOR1;AFLT;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AGCX11;BRAGCXCTF003;AGCX;COTAS;;;A;;;;CTF;E;10;0.0;CTF;
AGEN11;BRAGENBDR001;AGEN;BDRS REPRESENTATIVOS DE 1 ACAO ORDINARIA;;;A;;;;BDR;E;10;0.0;BDR;
AGIN3;BRAGINACNOR8;AGIN;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AGR 3;BRAGRAACNOR6;AGRA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AGRA3;BRAGRAACNOR6;AGRA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AGRO3;BRAGROACNOR7;AGRO;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AHE 3;BRAHEBACNOR0;AHEB;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AHE 5;BRAHEBACNPA3;AHEB;ACOES PREFERENCIAIS CLASSE A;;;A;;;;ACN;E;10;0.0;ACN;PA
AHE 6;BRAHEBACNPB1;AHEB;ACOES PREFERENCIAIS CLASSE B;;;A;;;;ACN;E;10;0.0;ACN;PB
AHEB6;BRAHEBACNPB1;AHEB;ACOES PREFERENCIAIS CLASSE B;;;A;;;;ACN;E;10;0.0;ACN;PB
ALBA3;BRALBAACNOR0;ALBA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ALP 3;BRALPAACNOR0;ALPA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ALPA3;BRALPAACNOR0;ALPA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ALPA4;BRALPAACNPR7;ALPA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ALSC3;BRALSCACNOR0;ALSC;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AMBV3;BRAMBVACNOR4;AMBV;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AMGN11B;BRAMGNBDR004;AMGN;BDRS REPRESENTATIVOS DE UMA ACAO ORDINARIA CADA UM;;;A;;;;BDR;E;10;0.0;BDR;
AMPI3;BRAMPIACNOR1;AMPI;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AMRI8;BRAMRIACNPD4;AMRI;ACOES PREFERENCIAIS CLASSE D;;;A;;;;ACN;E;10;0.0;ACN;PD
AMS 3;BRAMSLACNOR9;AMSL;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AMS 4;BRAMSLACNPR6;AMSL;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
AMSL3;BRAMSLACNOR9;AMSL;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AMZO11B;BRAMZOBDR002;AMZO;BDRS REPRESENTATIVOS DE UMA ACAO ORDINARIA CADA UM;;;A;;;;BDR;E;10;0.0;BDR;
AMZO34;BRAMZOBDR002;AMZO;BDRS REPRESENTATIVOS DE UMA ACAO ORDINARIA CADA UM;;;A;;;;BDR;E;10;0.0;BDR;
ANDG3B;BRANDGACNOR9;ANDG;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ANDG4B;BRANDGACNPR6;ANDG;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ANP 6;BRANPBACNPB5;ANPB;ACOES PREFERENCIAIS CLASSE B;;;A;;;;ACN;E;10;0.0;ACN;PB
ANR 5;BRANRNACNPA8;ANRN;ACOES PREFERENCIAIS CLASSE A;;;A;;;;ACN;E;10;0.0;ACN;PA
ANT 3;BRANTAACNOR8;ANTA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ANT 4;BRANTAACNPR5;ANTA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ANTA3;BRANTAACNOR8;ANTA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AQLL11B;BRAQLLCTF008;AQLL;COTAS;;;A;;;;CTF;E;10;0.0;CTF;
ARC 6;BRARCZACNPB3;ARCZ;ACOES PREFERENCIAIS CLASSE B;;;A;;;;ACN;E;10;0.0;ACN;PB
ARCZ3;BRARCZACNOR2;ARCZ;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ARCZ6;BRARCZACNPB3;ARCZ;ACOES PREFERENCIAIS CLASSE B;;;A;;;;ACN;E;10;0.0;ACN;PB
ARMT11B;BRARMTBDR008;ARMT;2 BDRS REPRESENTATIVOS DE 1 ACAO ORDINARIA;;;A;;;;BDR;E;10;0.0;BDR;
ARNO4;BRARNOACNPR0;ARNO;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ARP 3;BRARPSACNOR9;ARPS;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ARPS3;BRARPSACNOR9;ARPS;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ART 3;BRARTEACNOR1;ARTE;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ARZZ3;BRARZZACNOR3;ARZZ;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ARTE4;BRARTEACNPR8;ARTE;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ARTR3;BRARTRACNOR3;ARTR;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ASS 3;BRASSMACNOR4;ASSM;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ASSM3;BRASSMACNOR4;ASSM;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
ASSM4;BRASSMACNPR1;ASSM;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
AST 4;BRASTAACNPR4;ASTA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ASTA4;BRASTAACNPR4;ASTA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
ATE 4;BRATELACNPR1;ATEL;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
AUTM3;BRAUTMACNOR8;AUTM;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
AVON11B;BRAVONBDR009;AVON;2 BDRS REPRESENTATIVOS DE 1 ACAO ORDINARIA;;;A;;;;BDR;E;10;0.0;BDR;
AXPB11B;BRAXPBBDR007;AXPB;BDRS REPRESENTATIVOS DE UMA ACAO ORDINARIA CADA UM;;;A;;;;BDR;E;10;0.0;BDR;
AXPB34;BRAXPBBDR007;AXPB;BDRS REPRESENTATIVOS DE UMA ACAO ORDINARIA CADA UM;;;A;;;;BDR;E;10;0.0;BDR;
AZE 4;BRAZEVACNPR7;AZEV;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BAA 4;BRBAAMACNPR5;BAAM;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BAAM3;BRBAAMACNOR8;BAAM;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BAD 3;BRBADMACNOR2;BADM;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BAL 4;BRBALMACNPR2;BALM;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BAM 4;BRBAMGACNPR2;BAMG;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BAN 3;BRBANGACNOR3;BANG;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BAN 4;BRBANGACNPR0;BANG;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BAQU4;BRBAQUACNPR4;BAQU;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BAR 4;BRBARBACNPR2;BARB;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BASU3;BRBASUACNOR3;BASU;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BAU 4;BRBAUHACNPR3;BAUH;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BAUH4;BRBAUHACNPR3;BAUH;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BBC 3;BRBBCMACNOR2;BBCM;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BBCM4;BRBBCMACNPR9;BBCM;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BBD 3;BRBBDCACNOR1;BBDC;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BBD 4;BRBBDCACNPR8;BBDC;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BBDC4;BRBBDCACNPR8;BBDC;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BBPO11;BRBBPOCTF003;BBPO;COTAS;;;A;;;;CTF;E;10;0.0;CTF;
BBR 3;BRBBRAACNOR5;BBRA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BBRC11;BRBBRCCTF004;BBRC;COTAS;;;A;;;;CTF;E;10;0.0;CTF;
BBSE3;BRBBSEACNOR5;BBSE;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BBV 5;BRBBVTACNPA0;BBVT;ACOES PREFERENCIAIS CLASSE A;;;A;;;;ACN;E;10;0.0;ACN;PA
BBVJ11;BRBBVJCTF001;BBVJ;COTAS;;;A;;;;CTF;E;10;0.0;CTF;
BBVT3;BRBBVTACNOR7;BBVT;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BBVT5;BRBBVTACNPA0;BBVT;ACOES PREFERENCIAIS CLASSE A;;;A;;;;ACN;E;10;0.0;ACN;PA
BCE 4;BRBCEEACNPR0;BCEE;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BCFF11B;BRBCFFCTF000;BCFF;COTAS;;;A;;;;CTF;E;10;0.0;CTF;
BCN 3;BRBCNAACNOR2;BCNA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BCN 4;BRBCNAACNPR9;BCNA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BCNA4;BRBCNAACNPR9;BCNA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BDEP3;BRBDEPACNOR7;BDEP;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BDL 4;BRBDLLACNPR8;BDLL;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BEBA3;BRBEBAACNOR3;BEBA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BEBA5;BRBEBAACNPA6;BEBA;ACOES PREFERENCIAIS CLASSE A;;;A;;;;ACN;E;10;0.0;ACN;PA
BEBA6;BRBEBAACNPB4;BEBA;ACOES PREFERENCIAIS CLASSE B;;;A;;;;ACN;E;10;0.0;ACN;PB
BEC 3;BRBECEACNOR3;BECE;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BECE3;BRBECEACNOR3;BECE;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BEE 3;BRBEESACNOR9;BEES;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BEES3;BRBEESACNOR9;BEES;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BEES9;BRBEESR03OR0;BEES;RECIBOS DE SUBSCRICAO DE ACOES ORDINARIAS - E:07/2013;;;A;;;;R;E;10;0.0;R;
BEP 3;BRBEPAACNOR3;BEPA;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BEP 4;BRBEPAACNPR0;BEPA;ACOES PREFERENCIAIS;;;A;;;;ACN;E;10;0.0;ACN;PR
BER 3;BRBERGACNOR6;BERG;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
BERG3;BRBERGACNOR6;BERG;ACOES ORDINARIAS;;;A;;;;ACN;E;10;0.0;ACN;OR
